Year,"Births per 1,000 women ages 15-44"
1976,65
1977,66.8
1978,65.5
1979,67.2
1980,68.4
1981,67.3
1982,67.3
1983,65.7
1984,65.5
1985,66.3
1986,65.4
1987,65.8
1988,67.3
1989,69.2
1990,70.9
1991,69.3
1992,68.4
1993,67
1994,65.9
1995,64.6
1996,64.1
1997,63.6
1998,64.3
1999,64.4
2000,65.9
2001,65.1
2002,65
2003,66.1
2004,66.4
2005,66.7
2006,68.6
2007,69.3
2008,68.1
2009,66.2
2010,64.1
2011,63.2
2012,63
2013,62.5
2014,62.9
2015,62.5
2016,62
2017,60.3
2018,59.1
2019,58.26
2020,55.99
2021,56.3
2022,55.96
2023,54.51
2024,53.8
2025,53.1
